Lake,Experiment,Treatment,Enclosure,community,ID,mean_J,mean_s,mean_ENS_D,final_stab,initial_stab,rate_change_ort,rate_change_oti,mean_zoop_biomass,initial_zoop_body_size,mean_TP,mean_TN,mean_DOC,mean_PAR,mean_Temp,mean_Chla,mean_TN_TP_ratio,mean_DN_TP_ratio
Bolmen,Spring,F,11,phyto,Bolmen_Spring_F_11_phyto,0.76380986731155,56.333333333333336,11.559934137314858,0.176507902493426,-0.167322761625127,0.33307553753975,-0.0506317911126247,NA,NA,14.344999999999999,0.29925,9.373999999999999,265.3333333333333,17.316666666666666,1.95744,0.02078078004761474,0.012644622745802529
Bolmen,Spring,F,11,zoopl,Bolmen_Spring_F_11_zoopl,0.5605092067124272,8.833333333333334,3.2581118188876017,-0.590777883757567,-0.362752833983587,-0.14396455791545,-0.258018415847783,20.741599256490936,0.605276529142228,14.344999999999999,0.29925,9.373999999999999,265.3333333333333,17.316666666666666,1.95744,0.02078078004761474,0.012644622745802529
Bolmen,Spring,F,13,phyto,Bolmen_Spring_F_13_phyto,0.757915907972399,70.66666666666667,13.932395395636165,0.176507902493426,0.145211472623104,-0.0286897336559934,-0.0693694227029287,NA,NA,16.451666666666668,0.34208333333333335,10.085,182.83333333333334,17.27166666666667,2.26305,0.02193502933721547,0.014216396550347631
Bolmen,Spring,F,13,zoopl,Bolmen_Spring_F_13_zoopl,0.48516659383415117,7.5,2.5544730531012183,-1.3690806821173,-1.76985248965086,0.0388962191761933,-0.326309860764063,20.179566030837734,0.563886729282265,16.451666666666668,0.34208333333333335,10.085,182.83333333333334,17.27166666666667,2.26305,0.02193502933721547,0.014216396550347631
Bolmen,Spring,F,2,phyto,Bolmen_Spring_F_2_phyto,0.7134156526362406,54.166666666666664,8.894637241312946,-0.216096837871577,0.219054535428043,0.278286398534004,-0.226330539687612,NA,NA,18.088333333333335,0.41635,9.821,193,17.096666666666668,2.278515,0.023730961210408852,0.017059296552688622
Bolmen,Spring,F,2,zoopl,Bolmen_Spring_F_2_zoopl,0.4992626054497488,8.5,2.6302452354485815,-0.165249374442842,-0.482195990176179,0.276608320842485,-0.0768196308383332,31.668687800498063,0.494120812361924,18.088333333333335,0.41635,9.821,193,17.096666666666668,2.278515,0.023730961210408852,0.017059296552688622
Bolmen,Spring,F,8,phyto,Bolmen_Spring_F_8_phyto,0.7297511821365563,52,9.794110792874081,0.174328131111742,0.0575735945712189,-0.201853348377734,-0.0862762295692472,NA,NA,15.085,0.36053999999999997,9.511,423.3333333333333,17.25,1.88634,0.02410572264409104,0.011847776511110493
Bolmen,Spring,F,8,zoopl,Bolmen_Spring_F_8_zoopl,0.5365584688511547,8.333333333333334,2.8092418709552,-0.582953991171161,-0.603553243042354,-0.127358334336976,-0.327587925658603,23.58156156138638,0.508047016700152,15.085,0.36053999999999997,9.511,423.3333333333333,17.25,1.88634,0.02410572264409104,0.011847776511110493
Bolmen,Spring,FS,15,phyto,Bolmen_Spring_FS_15_phyto,0.7609133246354982,54.833333333333336,11.662355149387576,0.67295662241885,0.441500218720144,-0.225147855057056,-0.230118666992295,NA,NA,14.965,0.34655,9.539000000000001,167.5,17.4,2.823255,0.02335284636407538,0.013293701943212175
Bolmen,Spring,FS,15,zoopl,Bolmen_Spring_FS_15_zoopl,0.584261932724878,8.166666666666666,3.0123550993306365,-0.55955263313495,-0.824499048869784,0.167689570808916,-0.356082706415408,23.375008876104605,0.539036119948493,14.965,0.34655,9.539000000000001,167.5,17.4,2.823255,0.02335284636407538,0.013293701943212175
